Ride ID,Show Name,Day,Ride Time,Ready By / On Horse By,Rider,Horse,Class #,Class Name,Arena #,Arena Name,Notes,Status
Fri_7_45_AM_Fleming_Kuhn_Kathryn_Franzsis_HSR_1FI2EF,,Fri,7:45 AM,,"Fleming-Kuhn, Kathryn",Franzsis HSR,1FI2EF,FEI Intermediate II Markel/USEF Qualifying,1,R & L Arena (J. Lees at C; C. Carlson at B),,Scheduled
Fri_8_55_AM_Fleming_Kuhn_Kathryn_Vholt_1PSG,,Fri,8:55 AM,,"Fleming-Kuhn, Kathryn",Vholt,1PSG,FEI Prix St. Georges,3,Roberts Arena (Beverly Rogers at C),,Scheduled
Fri_8_56_AM_Gillman_Chynna_Destemido_RRI_H1PSG,,Fri,8:56 AM,,"Gillman, Chynna",Destemido RRI,H1PSG,FEI Prix. St. Georges,1,R & L Arena (Jodi Lees at C),,Scheduled
Fri_10_09_AM_Fleming_Kuhn_Kathryn_Steendieks_Dubidoo_H1PSG,,Fri,10:09 AM,,"Fleming-Kuhn, Kathryn",Steendieks Dubidoo,H1PSG,FEI Prix. St. Georges,1,R & L Arena (Jodi Lees at C),,Scheduled
Fri_11_05_AM_Fleming_Kuhn_Kathryn_Matchmaker_HSR_133,,Fri,11:05 AM,,"Fleming-Kuhn, Kathryn",Matchmaker HSR,133,Third Level Test 3,9,Jumper Ring (Jodi Ely at C),,Scheduled
Fri_11_37_AM_Kuhn_Malcolm_Moon_H1UB,,Fri,11:37 AM,,"Kuhn, Malcolm",Moon,H1UB,USDF Introductory Test B,7,Hunter 1 (Susan Mandas at C),,Scheduled
Fri_1_20_PM_Gillman_Chynna_Padme_Zarma_TF_121,,Fri,1:20 PM,,"Gillman, Chynna",Padme Zarma TF,121,Second Level Test 1,9,Jumper Ring (Jodi Ely at C),,Scheduled
Fri_3_00_PM_Fleming_Kuhn_Kathryn_Va_Fiero_1T3,,Fri,3:00 PM,,"Fleming-Kuhn, Kathryn",Va Fiero,1T3,Training Level Test 3,8,Hunter 2 (Joan Williams at C),,Scheduled
Fri_5_46_PM_Wilton_Jordan_Wild_Card_HSR_1FFS,,Fri,5:46 PM,,"Wilton, Jordan",Wild Card HSR,1FFS,FEI Freestyle Test of Choice,3,Roberts Arena (Beverly Rogers at C),,Scheduled
Fri_6_00_PM_Fleming_Kuhn_Kathryn_Fiorenza_HSR_123,,Fri,6:00 PM,,"Fleming-Kuhn, Kathryn",Fiorenza HSR,123,Second Level Test 3,7,Hunter 1 (Susan Mandas at C),,Scheduled
Sat_8_22_AM_Gillman_Chynna_Destemido_RRI_H2PSG,,Sat,8:22 AM,,"Gillman, Chynna",Destemido RRI,H2PSG,FEI Prix St. Georges,1,R & L Arena (Susan Mandas at C),,Scheduled
Sat_9_45_AM_Fleming_Kuhn_Kathryn_Steendieks_Dubidoo_H2I1,,Sat,9:45 AM,,"Fleming-Kuhn, Kathryn",Steendieks Dubidoo,H2I1,FEI Intermediare I,1,R & L Arena (Susan Mandas at C),,Scheduled
Sat_12_51_PM_Fleming_Kuhn_Kathryn_Fiorenza_HSR_233,,Sat,12:51 PM,,"Fleming-Kuhn, Kathryn",Fiorenza HSR,233,Third Level Test 3,7,Hunter 1 (Gwen Ka'awaloa at C),,Scheduled
Sat_1_13_PM_Kuhn_Malcolm_Moon_H2UC,,Sat,1:13 PM,,"Kuhn, Malcolm",Moon,H2UC,USDF Introductory Test C,7,Hunter 1 (Gwen Ka'awaloa at C),,Scheduled
Sat_1_50_PM_Gillman_Chynna_Padme_Zarma_TF_213,,Sat,1:50 PM,,"Gillman, Chynna",Padme Zarma TF,213,First Level Test 3,1,R & L Arena (Susan Mandas at C),,Scheduled
Sat_2_49_PM_Fleming_Kuhn_Kathryn_Vholt_2I1,,Sat,2:49 PM,,"Fleming-Kuhn, Kathryn",Vholt,2I1,FEI Intermediare I,1,R & L Arena (Susan Mandas at C),,Scheduled
Sat_2_58_PM_Wilton_Jordan_Wild_Card_HSR_2I1,,Sat,2:58 PM,,"Wilton, Jordan",Wild Card HSR,2I1,FEI Intermediare I,1,R & L Arena (Susan Mandas at C),,Scheduled
