Class #,Found In Class Map?,Class Name
121,Yes,Second Level Test 1
123,Yes,Second Level Test 3
133,Yes,Third Level Test 3
1FFS,Yes,FEI Freestyle Test of Choice
1FI2EF,Yes,FEI Intermediate II Markel/USEF Qualifying
1PSG,Yes,FEI Prix St. Georges
1T3,Yes,Training Level Test 3
213,Yes,First Level Test 3
233,Yes,Third Level Test 3
2I1,Yes,FEI Intermediare I
2I2,Yes,FEI Intermediare II
2YH,Yes,Young Horse Test of Choice (excl 7YO)
333,Yes,Third Level Test 3
3FFS,Yes,FEI Freestyle Test of Choice
3PSG,Yes,FEI Prix St. Georges
DHGEF,No,
H1PSG,Yes,FEI Prix. St. Georges
H1UB,Yes,USDF Introductory Test B
H2I1,Yes,FEI Intermediare I
H2PSG,Yes,FEI Prix St. Georges
H2UC,Yes,USDF Introductory Test C
US4EF,Yes,USEF 4-Year-Old Test Markel/USEF Qualifying
